ID	Path	ARROW	AT	BLOCK_COMMENT	CLOSING_QUOTE	COLON	COLONCOLON	COMMA	DOT	EOL_COMMENT	EQ	EQEQ	EXCL	GT	IDENTIFIER	INTEGER_LITERAL	KDoc	LBRACE	LBRACKET	LONG_TEMPLATE_ENTRY_END	LONG_TEMPLATE_ENTRY_START	LPAR	LT	MUL	OPEN_QUOTE	PLUS	QUEST	RBRACE	RBRACKET	REGULAR_STRING_PART	RPAR	WHITE_SPACE	class	else	false	fun	if	interface	null	object	package	return	super	this	true	val	var
1	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources\example.txt	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	0	0	1	0	1	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\androidTest\java\com\ground0\transaction\ExampleInstrumentedTest.txt	0	2	0	1	0	1	1	19	1	1	0	0	0	38	0	1	2	0	0	0	4	0	1	1	0	0	2	0	1	4	30	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0
3	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\components\BaseActivity.txt	0	0	0	0	5	0	0	19	0	1	0	0	2	50	0	1	3	0	0	0	6	2	0	0	0	1	3	0	0	6	42	1	0	0	2	0	0	0	0	1	0	1	1	0	0	1
4	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\components\BaseFragment.txt	0	0	0	0	1	0	0	8	0	0	0	0	0	14	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\components\RetailApplication.txt	0	0	0	0	1	0	0	25	0	0	0	0	0	41	0	1	2	0	0	0	6	0	0	0	0	0	2	0	0	6	24	1	0	0	1	0	0	0	0	1	0	1	2	0	0	0
6	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\livedata\SingleLiveEvent.txt	1	3	1	2	4	0	4	28	1	3	0	0	3	78	0	2	8	0	0	0	14	3	0	2	0	1	8	0	2	14	84	1	0	2	3	2	0	1	1	1	0	2	0	2	2	0
7	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\dao\RetailTransactionDao.txt	0	5	0	2	5	0	0	32	0	2	0	0	4	73	0	1	1	0	0	0	8	4	0	2	0	0	1	0	2	8	42	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0
8	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\LocalStore.txt	0	0	0	9	24	1	2	49	8	1	0	0	18	170	0	1	16	0	0	0	37	18	0	9	0	0	16	0	9	37	176	1	0	0	13	0	0	0	1	1	4	0	0	0	0	1
9	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\RoomDatabase.txt	0	2	0	0	2	2	1	34	0	2	0	0	0	59	1	1	1	1	0	0	5	0	0	0	0	0	1	1	0	5	32	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0
10	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\util\DateTypeConverter.txt	0	2	0	0	4	0	0	15	0	2	0	0	0	35	0	1	1	0	0	0	4	0	0	0	0	2	1	0	0	4	25	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0
